role,description
Data Scientist,"Python, Machine Learning, Pandas, SQL, Data Visualization, Scikit-learn, Deep Learning, Statistics, Jupyter, Data Analysis"
Backend Developer,"Java, Spring Boot, REST APIs, MySQL, Microservices, Git, API Documentation, Server-side Logic, Maven"
Frontend Developer,"HTML, CSS, JavaScript, React, TypeScript, Responsive Design, Webpack, UI/UX, Bootstrap, DOM"
DevOps Engineer,"Docker, Jenkins, Kubernetes, AWS, CI/CD, Terraform, Bash Scripting, Monitoring, Ansible, Version Control"
Data Analyst,"Excel, SQL, Power BI, Tableau, Data Cleaning, Reporting, Business Intelligence, KPIs, Pivot Tables"
Business Analyst,"Requirements Gathering, Stakeholder Communication, Documentation, Jira, Agile, Functional Specs, Data Mapping"
Full Stack Developer,"React, Node.js, Express, MongoDB, REST APIs, Git, HTML/CSS, Authentication, MVC, TypeScript"
ML Engineer,"Machine Learning, TensorFlow, PyTorch, Feature Engineering, Model Evaluation, NLP, Neural Networks, Python"
Cloud Engineer,"AWS, Azure, GCP, Cloud Deployment, EC2, S3, IAM, Lambda, CI/CD Pipelines, Terraform"
Cybersecurity Analyst,"Network Security, Firewalls, SIEM, Risk Assessment, Ethical Hacking, Kali Linux, Incident Response"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Design Systems, UI Guidelines"
QA Engineer,"Test Cases, Selenium, Manual Testing, Automation Testing, JIRA, Regression Testing, Bug Reporting"
Mobile App Developer,"Android, iOS, Flutter, React Native, Kotlin, Swift, Firebase, App Deployment"
AI Engineer,"Artificial Intelligence, NLP, Computer Vision, TensorFlow, PyTorch, Deep Learning, Model Deployment"
Technical Writer,"API Documentation, User Manuals, Markdown, Technical Editing, Version Control, HTML, Git"

BPO Executive,"Customer Service, Inbound/Outbound Calls, CRM Tools, Voice Process, Complaint Handling, Communication Skills"
Accountant,"Balance Sheets, Tally, GST Filing, Income Tax Returns, Payroll, Financial Reports, Reconciliation, Ledger Management"
School Teacher,"Lesson Planning, Classroom Management, Student Assessment, Curriculum Design, Subject Expertise, Teaching Aids"
Finance Officer,"Loan Processing, Credit Analysis, Risk Assessment, KYC Compliance, Investment Planning, Financial Reporting"
Sales Executive,"Lead Generation, Product Pitching, Target Achievement, CRM Tools, Cold Calling, Negotiation Skills"
Marketing Specialist,"SEO, Digital Campaigns, Google Ads, Social Media Management, Content Marketing, Market Research"
HR Executive,"Recruitment, Onboarding, Payroll, Employee Engagement, Performance Reviews, HRMS Tools, Grievance Handling"
Mechanical Engineer,"Mechanical Design, CAD, Manufacturing Process, Maintenance, Thermodynamics, Workshop Safety"
Automobile Technician,"Vehicle Diagnostics, Engine Tuning, Servicing, Brake System, Suspension, Auto Electronics"
Electrical Engineer,"Circuit Design, Load Calculations, Wiring, PLC Programming, Transformer Maintenance, Installation Safety"
Pharmacy Assistant,"Prescription Handling, Dispensing Medicines, Inventory Management, Drug Safety, Patient Counseling"

Travel Consultant,"Flight Booking, Visa Processing, Travel Itinerary Planning, GDS Systems, Customer Interaction"
Hotel Receptionist,"Check-in/Check-out, Reservation Systems, Guest Management, Front Desk Operations, Hospitality Skills"
Logistics Coordinator,"Order Processing, Supply Chain, Vendor Coordination, Inventory Tracking, Delivery Scheduling"
Digital Marketing Executive,"Facebook Ads, Instagram Marketing, Influencer Coordination, Google Analytics, Branding"
Supply Chain Manager,"Procurement, Inventory Planning, Vendor Management, Demand Forecasting, ERP Systems"

Legal Assistant,"Legal Drafting, Case Research, Filing Legal Documents, Court Procedures, MS Word"
Content Writer,"Blog Writing, SEO Optimization, Proofreading, Keyword Research, Grammarly, WordPress"
Graphic Designer,"Adobe Photoshop, Illustrator, Canva, UI Mockups, Poster Designing, Creative Conceptualization"
Operations Manager,"Process Optimization, Team Supervision, KPI Tracking, Reports Generation, MIS Reports"
Event Manager,"Event Planning, Vendor Coordination, Budget Management, On-site Execution, Sponsorship"

Customer Support Executive,"Ticket Resolution, Email Support, Chat Process, Issue Escalation, CRM Tools"
Technical Support Engineer,"Troubleshooting, Hardware & Software Support, Helpdesk Tickets, Remote Assistance"
